"Area","hh_size","Total","Under15","`15-18`","`18-65`","Above65","Above18","se.Counter","se.Under15","se.`15-18`","se.`18-65`","se.Above65","se.Above18"
"63",12,240,120,120,240,0,240,48.9667472283647,34.62502071857,34.62502071857,48.9667472283647,0,48.9667472283647
"67",12,120,120,0,120,0,120,34.6217033510329,34.6217033510329,0,34.6217033510329,0,34.6217033510329
"73",12,600,600,480,600,120,600,77.3434157846419,77.3434157846419,69.1992148839291,77.3434157846419,34.6313291892496,77.3434157846419
"77",12,1320,1200,720,1320,240,1320,114.560076410301,109.266753142725,84.7295778393826,114.560076410301,48.9674444784971,114.560076410301
"0",13,520,520,260,520,130,520,72.0606718836023,72.0606718836023,50.968124157755,72.0606718836023,36.0347832515339,72.0606718836023
"11",13,130,0,0,130,0,130,36.034507502212,0,0,36.034507502212,0,36.034507502212
"33",13,780,650,520,780,130,780,88.2525272403974,80.5800688604054,72.072300590694,88.2525272403974,36.0379103877061,88.2525272403974
"53",13,520,520,390,520,0,520,72.0542479544648,72.0542479544648,62.3955074152177,72.0542479544648,0,72.0542479544648
"61",13,390,390,260,390,0,390,62.3933257751964,62.3933257751964,50.963098128918,62.3933257751964,0,62.3933257751964
"63",13,520,520,260,520,0,520,72.0477238200173,72.0477238200173,50.9615723569521,72.0477238200173,0,72.0477238200173
"0",14,140,140,0,140,140,140,37.3917409123371,37.3917409123371,0,37.3917409123371,37.3917409123371,37.3917409123371
"11",14,280,280,280,280,0,280,52.8478388299119,52.8478388299119,52.8478388299119,52.8478388299119,0,52.8478388299119
"33",14,280,140,280,280,140,280,52.8872061818481,37.3967843889419,52.8872061818481,52.8872061818481,37.3967843889419,52.8872061818481
"53",14,140,140,140,140,0,140,37.3935051472236,37.3935051472236,37.3935051472236,37.3935051472236,0,37.3935051472236
"67",14,140,140,0,140,140,140,37.400115056314,37.400115056314,0,37.400115056314,37.400115056314,37.400115056314
"77",14,140,140,140,140,0,140,37.3966775390868,37.3966775390868,37.3966775390868,37.3966775390868,0,37.3966775390868
"11",15,300,300,300,300,300,300,54.7002310785178,54.7002310785178,54.7002310785178,54.7002310785178,54.7002310785178,54.7002310785178
"33",15,150,150,150,150,0,150,38.7071797033491,38.7071797033491,38.7071797033491,38.7071797033491,0,38.7071797033491
"53",15,150,150,0,150,150,150,38.7057616431724,38.7057616431724,0,38.7057616431724,38.7057616431724,38.7057616431724
"63",15,300,300,150,300,0,300,54.7075961274706,54.7075961274706,38.7077678733271,54.7075961274706,0,54.7075961274706
"73",15,150,150,150,150,0,150,38.716048850791,38.716048850791,38.716048850791,38.716048850791,0,38.716048850791
"77",15,150,150,150,150,0,150,38.7076541471186,38.7076541471186,38.7076541471186,38.7076541471186,0,38.7076541471186
"0",16,160,160,160,160,0,160,39.9854603608042,39.9854603608042,39.9854603608042,39.9854603608042,0,39.9854603608042
"33",16,160,160,0,160,160,160,39.9755884184914,39.9755884184914,0,39.9755884184914,39.9755884184914,39.9755884184914
"77",16,160,160,160,160,0,160,39.9754566070174,39.9754566070174,39.9754566070174,39.9754566070174,0,39.9754566070174
"0",17,170,0,0,170,0,170,41.1993247988486,0,0,41.1993247988486,0,41.1993247988486
"33",17,170,170,0,170,170,170,41.2011542986438,41.2011542986438,0,41.2011542986438,41.2011542986438,41.2011542986438
"61",17,170,170,170,170,170,170,41.2067293531041,41.2067293531041,41.2067293531041,41.2067293531041,41.2067293531041,41.2067293531041
"33",19,190,190,190,190,0,190,43.5570652007413,43.5570652007413,43.5570652007413,43.5570652007413,0,43.5570652007413
"0",25,250,250,250,250,0,250,49.9424901563925,49.9424901563925,49.9424901563925,49.9424901563925,0,49.9424901563925
